Program,n,Period
U15 Boys,685,1997-2022
U15 Girls,213,2004-2022
U17 Boys,542,1990-2022
U17 Girls,423,2000-2022
U20 Men,709,1973-2022
U20 Women,294,2002-2022
U23 Men,330,1990-2022
Senior Men,366,1986-2022
Senior Women/X,247,1986-2022
