team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Walsall,Walsall,Jul 21,,5-0 W,Walsall,https://www.avfc.co.uk/news/2026/july/22/gallery-walsall-win-kicks-off-pre-season/,📝,,https://www.youtube.com/watch?v=C3kJDP9nhcA,🎥,,❌
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Porto,Porto,Jul 25,,,Porto,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Real Sociedad,Real Sociedad,Jul 28,,,Walsall,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Indonesia All Stars,Indonesia All Stars,Aug 01,,,Jakarta,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,BG Pathum United,BG Pathum United,Aug 04,,,Pathum Thani,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Bayern Munich,Bayern Munich,Aug 07,,,Hong Kong,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,PSG,PSG,Aug 12,,,Salzburg,,,Super Cup,,,,
https://resources.premierleague.com/premierleague25/badges-alt/7.svg,aston villa,,Borussia Monchengladbach,Borussia Monchengladbach,Aug 15,,,Monchengladbach,,,,,,,
