team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,liverpool,,Sunderland,Sunderland,Jul 25,,4-2 W,Nashville,https://www.liverpoolfc.com/news/liverpool-beat-sunderland-andoni-iraolas-first-game-charge,📝,,https://www.youtube.com/watch?v=fzuMQpJwKQE,🎥,https://www.youtube.com/watch?v=qtNXs_WodLs,🗣️
,liverpool,,Wrexham,Wrexham,Jul 29,,1-0 W,New York,https://www.liverpoolfc.com/news/rio-ngumoha-goal-settles-liverpool-v-wrexham-clash-new-york,📝,,https://www.youtube.com/watch?v=XWSxj_jazFs,🎥,https://www.youtube.com/watch?v=Gr-fGkgsBdg,🗣️
,liverpool,,Leeds,Leeds,Aug 02,,4-2 L,Chicago,https://www.liverpoolfc.com/news/liverpool-beaten-leeds-chicago-usa-tour-concludes,📝,,https://www.youtube.com/watch?v=GGuQFXrSSfs,🎥,https://www.youtube.com/watch?v=BEiHj--FUxQ,🗣️
,liverpool,,Monaco,Monaco,Aug 09,,,Liverpool,,,,,,,
,liverpool,,Como,Como,Aug 16,,,Liverpool,,,BCD,,,,
,liverpool,,Como,Como,Aug 16,,,Liverpool,,,,,,,
