team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,sunderland,,York City,York City,Jul 18,,5-1 W,York,https://www.safc.com/news/2026/july/18/sunderland-score-five-at-york-in-pre-season-opener/,📝,,https://www.youtube.com/watch?v=NwC9eBunnJo,🎥,https://www.youtube.com/watch?v=v0NKiaaeAlw,🗣️
,sunderland,,Liverpool,Liverpool,Jul 25,,4-2 L,Nashville,https://www.safc.com/news/2026/july/25/sunderland-defeated-by-liverpool-in-nashville/,📝,,https://www.youtube.com/watch?v=aNiDwxWEHbg,🎥,https://www.youtube.com/watch?v=cVCuh1QlXOA,🗣️
,sunderland,,Leeds,Leeds,Jul 30,,1-0 L,New Jersey,https://www.safc.com/news/2026/july/31/lads-defeated-by-leeds-in-new-jersey/,📝,,https://www.youtube.com/watch?v=9_CZpJMeP5E,🎥,https://www.youtube.com/watch?v=S50TGVXrJEM,🗣️
,sunderland,,Wrexham,Wrexham,Aug 02,,1-0 W,Philadelphia,https://www.safc.com/news/2026/august/02/Sunderland-defeat-Wrexham-in-Philadelphia/,📝,,https://www.youtube.com/watch?v=3L4OdlkeJeo,🎥,https://www.youtube.com/watch?v=oBWGtaqRNYY,🗣️
,sunderland,,Lens,Lens,Aug 08,,4-1 L,Lens,https://www.safc.com/news/2026/august/08/young-safc-xi-beaten-by-rc-lens/,📝,"BCD, safc B",,❌,,❌
,sunderland,,Lens,Lens,Aug 08,,2-0 W,Lens,https://www.safc.com/news/2026/august/08/Hume-and-Isidor-on-target-as-Sunderland-win-in-Lens/,📝,,https://www.youtube.com/watch?v=-BLZ5L75GeU,🎥,https://www.youtube.com/watch?v=Z6Wo3jw7sVI,🗣️
,sunderland,,Rennes,Rennes,Aug 15,,2-1 W,Sunderland,https://www.safc.com/news/2026/august/15/sunderland-defeat-stade-rennais/,📝,,https://www.youtube.com/watch?v=BV537OLpm6Y,🎥,https://www.youtube.com/watch?v=zUD6N8sDNw0,🗣️
