team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,tottenham,,MK Dons,MK Dons,Jul 22,,1-0 W,London,https://www.tottenhamhotspur.com/news/1079398/fernandes-off-to-a-flyer-against-mk-dons,📝,BCD,https://www.youtube.com/watch?v=tfckgkSWvyY,🎥,,❌
,tottenham,,Auckland,Auckland,Jul 26,,,Auckland,,,,,,,
,tottenham,,Sydney FC,Sydney FC,Jul 29,,,Sydney,,,,,,,
,tottenham,,Chelsea,Chelsea,Aug 01,,,Sydney,,,,,,,
,tottenham,,Getafe,Getafe,Aug 08,,,London,,,BCD,,,,
,tottenham,,Hoffenheim,Hoffenheim,Aug 15,,,London,,,,,,,
,tottenham,,Hoffenheim,Hoffenheim,Aug 16,,,London,,,BCD,,,,
