team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,newcastle,,Darlington,Darlington,Jul 18,,3-0 W,Newcastle,https://www.newcastleunited.com/en/news/darlington-h-friendly-report-26-27,📝,BCD,,❌,,❌
,newcastle,,Gateshead,Gateshead,Jul 25,,1-1,Gateshead,https://www.newcastleunited.com/en/news/gateshead-1-newcastle-united-1,📝,,https://www.youtube.com/watch?v=Zfzdu3m14g8,🎥,https://www.newcastleunited.com/en/video/985299,🗣️
,newcastle,,Bristol City,Bristol City,Jul 29,,4-1 L,Bristol,https://www.newcastleunited.com/en/news/bristol-city-4-newcastle-united-1,📝,,https://www.newcastleunited.com/en/video/986926,🎥,https://www.newcastleunited.com/en/video/986917,🗣️
,newcastle,,Valencia,Valencia,Aug 08,,2-1 W,Valencia,https://www.newcastleunited.com/en/news/valencia-a-friendly-report-26-27,📝,,https://www.youtube.com/watch?v=7Ok7czINV78,🎥,https://www.newcastleunited.com/en/video/990131,🗣️
,newcastle,,Everton,Everton,Aug 12,,3-1 L,Edinburgh,https://www.newcastleunited.com/en/news/everton-friendly-report-26-27,📝,,https://www.newcastleunited.com/en/video/991008,🎥,https://www.newcastleunited.com/en/video/991012,🗣️
,newcastle,,Bayer Leverkusen,Bayer Leverkusen,Aug 15,,2-1 L,Newcastle,https://www.newcastleunited.com/en/news/bayer-leverkusen-h-friendly-report-26-27,📝,,https://www.youtube.com/watch?v=EJqWRCVdogg,🎥,https://www.newcastleunited.com/en/video/991863,🗣️
,newcastle,,Strasbourg,Strasbourg,Aug 16,,1-1,Newcastle,https://www.newcastleunited.com/en/news/strasbourg-h-friendly-report-26-27,📝,pks after,https://www.newcastleunited.com/en/video/992309,🎥,,❌
