team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,hull city,,Konyaspor,Konyaspor,Jul 25,,3-0 W,Kidricevo,https://www.wearehullcity.co.uk/news/2026/july/25/hull-city-3-0-konyaspor/,📝,,https://www.wearehullcity.co.uk/videos/594eb48d-e406-4615-9db0-a014e28127a7,🎥,https://www.wearehullcity.co.uk/videos/fa46cbba-b6ce-43d4-a92d-40d527dbc949,🗣️
,hull city,,Rizespor,Rizespor,Jul 28,,2-1 W,Maribor,https://www.wearehullcity.co.uk/news/2026/july/28/caykur-rizespor-vs-hull-city/,📝,,https://www.youtube.com/watch?v=OUpU8kDDCF0,🎥,https://www.hulldailymail.co.uk/sport/football/hull-city-assistant-boss-delivers-11080614,🗣️
,hull city,,Kasimpasa ,Kasimpasa ,Aug 01,,1-1,Istanbul,https://www.wearehullcity.co.uk/news/2026/august/01/kasimpasa-1-1-hull-city/,📝,,,,https://www.wearehullcity.co.uk/videos/3bc2078b-4b8c-426a-a7d3-8be557a5934d,🗣️
,hull city,,Eintracht Frankfurt,Eintracht Frankfurt,Aug 08,,2-0 L,Frankfurt,https://www.wearehullcity.co.uk/news/2026/august/08/eintracht-frankfurt-2-0-hull-city/,📝,120 mins,https://www.youtube.com/watch?v=SMTzuiG8ru8,🎥,https://www.wearehullcity.co.uk/videos/0e13b6f0-abab-4d6f-a079-d08e0887e34e,🗣️
,hull city,,Nice,Nice,Aug 15,,,Hull,,,,,,,
