team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,St. Pauli,St. Pauli,Jul 24,,4-1 W,Salzburg,https://www.afcb.co.uk/news/2026/july/24/rose-s-cherries-impress-in-pre-season-victory-over-st--pauli/,📝,,https://www.youtube.com/watch?v=pkp-wXxApLs,🎥,https://www.afcb.co.uk/videos/69c73f9c-e251-420e-b4af-522cef24dcf2,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,Augsburg,Augsburg,Jul 30,,5-2 W,Salzburg,https://www.afcb.co.uk/news/2026/july/30/cherries-finish-austria-camp-with-five-star-augsburg-win/,📝,4x30mins,https://www.youtube.com/watch?v=bvNqE0in5Ws,🎥,https://www.bournemouthecho.co.uk/sport/26425113.marco-rose-impressed-afc-bournemouth-augsburg-win/,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,Genoa,Genoa,Aug 04,,10-1 W,Bournemouth,https://www.afcb.co.uk/news/2026/august/04/cherries-seal-emphatic-victory-in-friendly-against-genoa/,📝,"BCD, 4x30mins",https://www.youtube.com/watch?v=vPwshhMoncg,🎥,,❌
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,Real Betis,Real Betis,Aug 08,,,Seville,,,,,,,
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,Mainz,Mainz,Aug 15,,,Mainz,,,BCD,,,,
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,,Mainz,Mainz,Aug 15,,,Mainz,,,double header,,,,
