team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,manchester city,,Wigan,Wigan,Jul 12?,,?,?,,❌,BCD,,❌,,❌
,manchester city,,?,?,Jul 14,,?,Manchester,https://www.bbc.com/sport/football/articles/cpw981n4v19o,📝,BCD ‘shop window’ U21s~,,❌,,❌
,manchester city,,Inter,Inter,Aug 01,,1-1,Hong Kong,https://www.mancity.com/news/mens/inter-hong-kong-asia-tour-match-report-63921168,📝,pks after,https://www.mancity.com/citytv/mens/inter-hong-kong-asia-tour-2026-brief-highlights-63921168,🎥,https://www.mancity.com/citytv/mens/enzo-maresca-matchday-live-inter-milan-reaction-63921197,🗣️
,manchester city,,K-League All Stars,K-League All Stars,Aug 05,,3-1 W,Seoul,https://www.mancity.com/news/mens/k-league-all-stars-seoul-match-report-63921520,📝,,https://www.youtube.com/watch?v=lHQkIjUSYJ0,🎥,https://www.youtube.com/watch?v=hwnsNIxCurY,🗣️
,manchester city,,Atletico Madrid,Atletico Madrid,Aug 09,,3-1 W,Seoul,https://www.mancity.com/news/mens/atletico-madrid-asia-tour-2026-report-63921855,📝,,https://www.youtube.com/watch?v=Q6cuTw4kfYQ,🎥,https://www.mancity.com/citytv/mens/enzo-maresca-manchester-city-atletico-madrid-post-match-press-conference-63921882,🗣️
,manchester city,,Arsenal,Arsenal,Aug 16,,3-0 L,Cardiff,https://www.mancity.com/news/mens/arsenal-manchester-city-community-shield-match-report-63922483,📝,Community Shield,https://www.youtube.com/watch?v=6TqyfV9-lp8,🎥,https://www.youtube.com/watch?v=u9Zimxv3o8I,🗣️
