team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,leeds,,Wrexham,Wrexham,Jul 25,,3-2 L,Tampa,https://www.leedsunited.com/en/news/pre-season-report-leeds-united-vs-wrexham-afc,📝,,https://www.youtube.com/watch?v=IjTNZB9rLLM,🎥,https://www.youtube.com/watch?v=bCWUYQALcPg,🗣️
,leeds,,Sunderland,Sunderland,Jul 30,,1-0 W,New Jersey,https://www.leedsunited.com/en/news/pre-season-report-leeds-united-1-0-sunderland,📝,,https://www.youtube.com/watch?v=zv9t7PAE5qo,🎥,https://www.youtube.com/watch?v=qyAmIZqnRmo,🗣️
,leeds,,Liverpool,Liverpool,Aug 02,,,Chicago,,,,,,,
,leeds,,RB Leipzig,RB Leipzig,Aug 08,,,Leeds,,,,,,,
,leeds,,Manchester United,Manchester United,Aug 12,,,Dublin,,,,,,,
,leeds,,Augsburg,Augsburg,Aug 15,,,Leeds,,,,,,,
