team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,chelsea,,Crawley Town,Crawley Town,Jul 18,,3-1 W,Cobham,,❌,BCD,,❌,,❌
,chelsea,,Bromley,Bromley,Jul 23,,3-0 W,Cobham,,❌,BCD,,❌,,❌
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,chelsea,,Western Sydney Wanderers,Western Sydney Wanderers,Jul 28,,6-4 W,Sydney,https://www.chelseafc.com/en/news/article/match-report-chelsea-6-4-western-sydney-wanderers,📝,,https://www.chelseafc.com/en/video/sydney-super-cup-highlights-western-sydney-wanderers-4-6-chelsea-or-pre,🎥,https://www.youtube.com/watch?v=nOXuYAcxf-c,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,chelsea,,Tottenham,Tottenham,Aug 01,,2-1 L,Sydney,https://www.chelseafc.com/en/news/article/match-report-chelsea-tottenham-pre-season-2026,📝,red card thfc,https://www.youtube.com/watch?v=13A1iAk_u4Y&t=1s,🎥,https://youtu.be/0j0MuvpU2uY?t=144,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,chelsea,,Juventus,Juventus,Aug 05,,1-0 L,Hong Kong,https://www.chelseafc.com/en/news/article/match-report-chelsea-0-1-juventus,📝,,https://www.youtube.com/watch?v=3AanU1p7Xeo,🎥,https://www.youtube.com/watch?v=68Aa862Z4uA,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,chelsea,,AC Milan,AC Milan,Aug 08,,3-0 W,Jakarta,https://www.chelseafc.com/en/news/article/match-report-chelsea-milan,📝,,https://www.youtube.com/watch?v=T0mI7k_LjMQ,🎥,https://www.youtube.com/watch?v=KYXhY7EbNec,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,chelsea,,Johor Darul Ta'zim,Johor Darul Ta'zim,Aug 09,,3-3,Iskandar Puteri,https://www.chelseafc.com/en/news/article/match-report-johor-darul-tazim-3-3-chelsea,📝,,https://www.youtube.com/watch?v=sDiAqBYeq3k,🎥,https://www.youtube.com/watch?v=fIx6NXipq50,🗣️
,chelsea,,Real Sociedad,Real Sociedad,Aug 15,,,London,,,,,,,
