team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up
,manchester united,,Wrexham,Wrexham,Jul 18,,0-1 L,Helsinki,https://www.manutd.com/en/news/report-united-0-wrexham-1,📝,,https://www.youtube.com/watch?v=jrvLccxDTNM,🎥
,manchester united,,Rosenborg,Rosenborg,Jul 24,,,Trondheim,,,,,
,manchester united,,Atletico Madrid,Atletico Madrid,Aug 01,,,Stockholm,,,,,
,manchester united,,PSG,PSG,Aug 08,,,Gothenburg,,,,,
,manchester united,,Leeds,Leeds,Aug 12,,,Dublin,,,,,
,manchester united,,AC Milan,AC Milan,Aug 15,,,Wroclaw,,,,,
