team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,coventry,,AFC Wimbledon,AFC Wimbledon,Jul 11,,3-2 L,Marbella,https://www.ccfc.co.uk/news/2026/july/11/match-report--afc-wimbledon-3-2-coventry-city-/,📝,BCD,,❌,,❌
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,coventry,,Northampton Town,Northampton Town,Jul 18,,0-0,Northampton,https://www.ccfc.co.uk/news/2026/july/18/northampton-town-0-0-coventry-city-/,📝,,https://www.youtube.com/watch?v=KOYsiyzk-Dc,🎥,,❌
,coventry,,Leicester,Leicester,Aug 01,,1-0 W,Leicester,https://www.ccfc.co.uk/news/2026/august/01/leicester-city-0-1-coventry-city-/,📝,"BCD, LCFC B",,❌,,❌
https://resources.premierleague.com/premierleague25/badges-alt/8.svg,coventry,,Espanyol,Espanyol,Aug 08,,,Coventry,,,,,,,
,coventry,,Monaco,Monaco,Aug 14,,,Coventry,,,,,,,
