team_logo,team,opponent_logo,opponent,opponent_name,date,opta_rating,score,location,match_report,report,note,video,video_up,manager,manager_up
,brighton,,Wycombe Wanderers,Wycombe Wanderers,Jul 18,,4-1 W,Brighton,https://www.brightonandhovealbion.com/media-article/mft-match-report-pre-season-friendly-brighton-wycombe-wanderers-july-2026,📝,BCD,https://www.youtube.com/watch?v=fUe4eUiBLqc,🎥,,❌
,brighton,,Annecy,Annecy,Jul 25,,❌,France,,,"cancelled, BCD",,,,
,brighton,,Strasbourg,Strasbourg,Aug 01,,4-3 W,Vienna,https://www.brightonandhovealbion.com/media-article/mft-match-report-bha-albion-show-set-piece-threat-in-win-over-strasbourg,📝,"BCD, 120 mins",https://www.youtube.com/watch?v=W4hDd69822M,🎥,https://youtu.be/uecZ0OBmygw?t=73,🗣️
https://resources.premierleague.com/premierleague25/badges-alt/36.svg,brighton,,Roma,Roma,Aug 08,,3-0 W,Brighton,https://www.brightonandhovealbion.com/media-article/mft-match-report-yasin-ayari-scores-twice-as-albion-beat-roma-3-0,📝,,https://www.youtube.com/watch?v=zsfATaJoiq8,🎥,https://www.youtube.com/watch?v=OjMUTwIEN48,🗣️
,brighton,,Kuwait SC,Kuwait SC,Aug 13,,7-0 W,Brighton,,❌,BCD,,❌,,❌
https://resources.premierleague.com/premierleague25/badges-alt/36.svg,brighton,,Bologna,Bologna,Aug 15,,1-0 W,Brighton,https://www.brightonandhovealbion.com/media-article/jack-hinshelwood-goal-earns-albion-win-over-bologna,📝,,https://www.youtube.com/watch?v=YSj9RK13bJ0,🎥,https://www.theargus.co.uk/sport/26467959.fabian-hurzeler-gives-verdict-brighton-beat-bologna/,🗣️
,brighton,,Tromso,Tromso,Aug 20,,,Tromso,,,Conference League,,,,
