team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://cdn.ssref.net/req/202507171/tlogo/fb/2abfe087.png,Watford,Jul 19,,2-0 Win,"London, England",https://www.football.london/arsenal-fc/news/arsenal-vs-watford-behind-closed-32095557,-
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://cdn.ssref.net/req/202507171/tlogo/fb/dc56fe14.png,Milan,Jul 23,,1-0 Win,"Kallang, Singapore",https://www.arsenal.com/fixture/arsenal/2025-Jul-23/arsenal-1-0-ac-milan-match-report,pk shootout after
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://resources.premierleague.com/premierleague25/badges-alt/4.svg,Newcastle,Jul 27,,,"Kallang, Singapore",,-
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham,Jul 31,,,"Kai Tak, Hong Kong",,-
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://cdn.ssref.net/req/202507171/tlogo/fb/2a8183b3.png,Villarreal,Aug 06,,,"London, England",,-
https://resources.premierleague.com/premierleague25/badges-alt/3.svg,arsenal,https://cdn.ssref.net/req/202507171/tlogo/fb/2b390eca.png,Athletic Club,Aug 09,,,"London, England",,-
