team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/22df8478.png,Preston North End,Jul 13,,3-1 Win,"Preston, England",https://www.liverpoolfc.com/news/match-report-preston-north-end-1-3-liverpool,-
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/17892952.png,Stoke,Jul 20,,5-0 Win,"Liverpool, England",https://www.liverpoolfc.com/news/match-report-nunez-hits-hat-trick-liverpool-beat-stoke-behind-closed-doors-friendly,-
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/dc56fe14.png,AC Milan,Jul 26,,,"Kai Tak, Hong Kong",,-
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/3ded797c.png,Yokohama F. Marinos,Jul 30,,,"Yokohama, Japan",,-
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/2b390eca.png,Athletic Club,Aug 04,,,"Liverpool, England",,double header
https://resources.premierleague.com/premierleague25/badges/14.svg,liverpool,https://cdn.ssref.net/req/202507171/tlogo/fb/2b390eca.png,Atheltic Club,Aug 04,,,"Liverpool, England",,double header
