team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/2.svg,leeds,https://resources.premierleague.com/premierleague25/badges-alt/1.svg,Manchester United,Jul 19,,0-0 Draw,"Stockholm, Sweden",https://www.leedsunited.com/en/news/report-leeds-united-0-0-manchester-united,-
https://resources.premierleague.com/premierleague25/badges-alt/2.svg,leeds,https://cdn.ssref.net/req/202507211/tlogo/fb/131bc303.png,SC Verl,Jul 22,,4-1 Win,Germany,https://www.leedsunited.com/en/news/report-sc-verl-vs-leeds-united,Behind closed doors order/2x60mins
https://resources.premierleague.com/premierleague25/badges-alt/2.svg,leeds,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Question_Mark.svg/1200px-Question_Mark.svg.png,Unknown,Jul 26,,,Germany,,Behind closed doors order
https://resources.premierleague.com/premierleague25/badges-alt/2.svg,leeds,https://cdn.ssref.net/req/202507171/tlogo/fb/2a8183b3.png,Villarreal,Aug 02,,,"Leeds, England",,-
https://resources.premierleague.com/premierleague25/badges-alt/2.svg,leeds,https://cdn.ssref.net/req/202507171/tlogo/fb/dc56fe14.png,AC Milan,Aug 09,,,"Dublin, Ireland",,-
