team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/31.svg,crystal palace,https://cdn.ssref.net/req/202507171/tlogo/fb/e3c537a1.png,Millwall,Jul 12,,1-0 Win,"London, England",https://www.cpfc.co.uk/news/match-reports/live-blog-report-highlights-palace-v-millwall-friendly-july-2025/,-
https://resources.premierleague.com/premierleague25/badges-alt/31.svg,crystal palace,https://cdn.ssref.net/req/202507171/tlogo/fb/0cd8eef2.png,Crawley Town,Jul 25,,3-0 Win,"Crawley, England",https://www.cpfc.co.uk/news/match-reports/live-crawley-town-v-crystal-palace/,-
https://resources.premierleague.com/premierleague25/badges-alt/31.svg,crystal palace,https://cdn.ssref.net/req/202507171/tlogo/fb/a224b06a.png,Mainz,Jul 29,,1-1 Draw/3-2 Loss,"Almtal, Austria",https://www.cpfc.co.uk/news/match-reports/match-report-highlights-crystal-palace-mainz-05-second-friendly/, 2x60mins
https://resources.premierleague.com/premierleague25/badges-alt/31.svg,crystal palace,https://cdn.ssref.net/req/202507171/tlogo/fb/0cdc4311.png,Augsburg,Aug 01,,3-1 Win,"Almtal, Austria",https://www.cpfc.co.uk/news/match-reports/match-report-highlights-crystal-palace-augsburg-first-friendly/,Double header
https://resources.premierleague.com/premierleague25/badges-alt/31.svg,crystal palace,https://cdn.ssref.net/req/202507171/tlogo/fb/0cdc4311.png,Augsburg,Aug 01,,1-0 Loss,"Almtal, Austria",https://www.cpfc.co.uk/news/match-reports/match-report-highlights-crystal-palace-augsburg-second-friendly/,Double header
