team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://cdn.ssref.net/req/202507171/tlogo/fb/ce786972.png,Chesterfield,Jul 12,,0-0 Draw,"Chesterfield, England",https://www.nottinghamforest.co.uk/news/2025/july/12/chesterfield-report/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://cdn.ssref.net/req/202507171/tlogo/fb/fd6114db.png,Monaco,Jul 19,,0-0 Draw,"Chesterfield, England",https://www.nottinghamforest.co.uk/news/2025/july/19/forest-continue-pre-season-preparations-against-monaco/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://resources.premierleague.com/premierleague25/badges-alt/54.svg,Fulham,Jul 26,,3-1 Loss,"Faro, Portugal",https://www.nottinghamforest.co.uk/news/2025/july/26/forest-beaten-by-fulham-in-pre-season/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://cdn.ssref.net/req/202507171/tlogo/fb/00c41b75.png,Estoril Praia,Jul 30,,0-0 Draw,"Faro, Portugal",https://www.nottinghamforest.co.uk/news/2025/july/30/Forest-0-0-Estoril-report/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://cdn.ssref.net/req/202507171/tlogo/fb/ec79b7c2.png,Birmingham City,Aug 02,,1-0 Loss,"Birmingham, England",https://www.nottinghamforest.co.uk/news/2025/august/02/more-valuable-pre-season-minutes-for-forest-against-blues/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://cdn.ssref.net/req/202507171/tlogo/fb/421387cf.png,Fiorentina,Aug 05,,0-0 Draw,"Nottingham, England",https://www.nottinghamforest.co.uk/news/2025/august/05/fiorentina-report/,-
https://resources.premierleague.com/premierleague25/badges/17.svg,nottingham forest,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Al-Qadsiah_Logo.svg/250px-Al-Qadsiah_Logo.svg.png,Al Qadsiah,Aug 09,,0-0 Draw,"Nottingham, England",https://www.nottinghamforest.co.uk/news/2025/august/09/al-qadsiah-report/,-
