team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/1.svg,manchester united,https://resources.premierleague.com/premierleague25/badges-alt/2.svg,Leeds,Jul 19,,0-0 Draw,"Stockholm, Sweden",https://www.manutd.com/en/news/detail/match-report-and-highlights-from-man-utd-v-leeds-in-stockholm-on-19-july-2025,-
https://resources.premierleague.com/premierleague25/badges-alt/1.svg,manchester united,https://resources.premierleague.com/premierleague25/badges-alt/21.svg,West Ham,Jul 27,,2-1 Win,"East Rutherford, USA",https://www.manutd.com/en/news/detail/match-report-man-utd-v-west-ham-premier-league-summer-series-2025,-
https://resources.premierleague.com/premierleague25/badges-alt/1.svg,manchester united,https://resources.premierleague.com/premierleague25/badges-alt/91.svg,Bournemouth,Jul 31,,4-1 Win,"Chicago, USA",https://www.manutd.com/en/news/detail/match-report-for-man-utd-v-bournemouth-at-soldier-field-chicago-31-july,-
https://resources.premierleague.com/premierleague25/badges-alt/1.svg,manchester united,https://resources.premierleague.com/premierleague25/badges-alt/11.svg,Everton,Aug 03,,2-2 Draw,"Atlanta, USA",https://www.manutd.com/en/news/detail/match-report-man-utd-v-everton-tour-2025,-
https://resources.premierleague.com/premierleague25/badges-alt/1.svg,manchester united,https://cdn.ssref.net/req/202507171/tlogo/fb/421387cf.png,Fiorentina,Aug 09,,,"Manchester, England",,-
