team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/94.svg,brentford,https://upload.wikimedia.org/wikipedia/en/8/8f/Gil_Vicente_F.C.png,Gil Vicente,Jul 25,,,"Barcelos, Portugal",,-
https://resources.premierleague.com/premierleague25/badges-alt/94.svg,brentford,https://cdn.ssref.net/req/202507171/tlogo/fb/a757999c.png,QPR,Aug 02,,,"London, England",,-
https://resources.premierleague.com/premierleague25/badges-alt/94.svg,brentford,https://cdn.ssref.net/req/202507171/tlogo/fb/32f3ee20.png,Borussia Monchengladbach,Aug 08,,,"London, England",,-
