team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507171/tlogo/fb/d6a369a2.png,Fleetwood Town,Jul 12,,1-0 Win,"Burnley, England",https://www.burnleyfootballclub.com/content/pre-season-burnley-1-0-fleetwood-town,-
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://resources.premierleague.com/premierleague25/badges-alt/39.svg,Wolves,Jul 19,,1-1 Draw,Portugal,https://www.burnleyfootballclub.com/content/clarets-draw-with-wolves-in-pre-season-training-game,-
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507171/tlogo/fb/f5922ca5.png,Huddersfield,Jul 26,,2-0 Win,"Huddersfield, England",https://www.burnleyfootballclub.com/content/pre-season-match-report-huddersfield-town-0-2-burnley,-
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507171/tlogo/fb/b435dbf5.png,Shrewsbury,Jul 26,,2-2 Draw,"Shrewsbury, England",https://www.burnleyfootballclub.com/content/pre-season-shrewsbury-town-2-2-burnley,-
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507211/tlogo/fb/bba7d733.png,Sheffield Wednesday,Aug 02,,,"Burnley, England",https://www.burnleyexpress.net/sport/football/burnleys-behind-closed-doors-friendly-against-sheffield-wednesday-cancelled-as-owls-go-on-strike-5251837,cancelled
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507171/tlogo/fb/17892952.png,Stoke,Aug 02,,1-0 Loss,"Stoke, England",https://www.burnleyfootballclub.com/content/pre-season-stoke-city-burnley,red card
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202507171/tlogo/fb/7213da33.png,Lazio,Aug 09,,1-0 Loss,"Burnley, England",https://www.burnleyfootballclub.com/content/parker-pleased-with-lazio-performance,-
https://resources.premierleague.com/premierleague25/badges-alt/90.svg,burnley,https://cdn.ssref.net/req/202508011/tlogo/fb/b8fd03ef.png,Manchester City U21s,Aug 09,,Unknown,"Manchester, England",https://www.burnleyexpress.net/sport/football/new-burnley-signing-features-in-behind-closed-doors-friendly-against-manchester-city-5264517,-
