team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://cdn.ssref.net/req/202507171/tlogo/fb/f3aacc58.png,Hibernian,Jul 15,,2-1 Win,"Bournemouth, England",https://www.afcb.co.uk/news/2025/july/15/Cherries-overcome-hibs-in-pre-season-opener/,-
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://cdn.ssref.net/req/202507171/tlogo/fb/93493607.png,Bristol City,Jul 19,,6-2 Win,"Bournemouth, England",https://www.afcb.co.uk/news/2025/july/19/cherries-win-bristol-city-pre-season-friendly/,4x30mins
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://resources.premierleague.com/premierleague25/badges-alt/11.svg,Everton,Jul 26,,3-0 Win,"East Rutherford, USA",https://www.afcb.co.uk/news/2025/july/26/cherries-hit-three-past-everton-in-summer-series-opener/,-
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://resources.premierleague.com/premierleague25/badges-alt/1.svg,Manchester  United,Jul 31,,4-1 Loss,"Chicago, USA",https://www.afcb.co.uk/news/2025/july/31/report--afc-bournemouth-1-4-manchester-united/,-
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://resources.premierleague.com/premierleague25/badges-alt/21.svg,West Ham,Aug 03,,2-0 Loss,"Atlanta, USA",https://www.afcb.co.uk/news/2025/august/03/summer-series-finale-ends-in-defeat/,-
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://cdn.ssref.net/req/202507171/tlogo/fb/576452c6.png,Real Sociedad B,Aug 09,,,"Bournemouth, England",,-
https://resources.premierleague.com/premierleague25/badges-alt/91.svg,bournemouth,https://cdn.ssref.net/req/202507171/tlogo/fb/576452c6.png,Real Sociedad,Aug 09,,,"Bournemouth, England",,-
