team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://cdn.ssref.net/req/202507171/tlogo/fb/8bbab7cf.png,Aberdeen,Jul 19,,4-1 Win,"London, England",https://www.fulhamfc.com/news/2025/july/19/fulham-4-1-aberdeen/,-
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://cdn.ssref.net/req/202507211/tlogo/fb/60c6b05f.png,West Brom,Jul 22,,,"London, England",,-
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,Jul 26,,,"Faro, Portugal",,-
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://cdn.ssref.net/req/202507211/tlogo/fb/e00d111d.png,Al-Ittihad,Jul 30,,,Portugal,,-
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://cdn.ssref.net/req/202507211/tlogo/fb/3f319bc9.png,Vitoria de Guimaraes,Aug 02,,,TBC,,Pending/to be confirmed
https://resources.premierleague.com/premierleague25/badges-alt/54.svg,fulham,https://cdn.ssref.net/req/202507171/tlogo/fb/f0ac8ee6.png,Eintracht Frankfurt,Aug 09,,,"London, England",,-
