team_logo,team,opponent_logo,opponent,date,opta_rating,score,location,match_report,note
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://cdn.ssref.net/req/202507171/tlogo/fb/120cfbbd.png,Carlisle United ,Jul 12,,4-0 Win,"Newcastle, England",https://www.newcastleunited.com/en/news/carlisle-united-h-friendly-24-25,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://cdn.ssref.net/req/202507171/tlogo/fb/b81aa4fa.png,Celtic,Jul 19,,4-0 Loss,"Glasgow, Scotland",https://www.newcastleunited.com/en/news/celtic-4-newcastle-united-0,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://resources.premierleague.com/premierleague25/badges-alt/3.svg,Arsenal,Jul 27,,3-2 Loss,"Kallang, Singapore",https://www.newcastleunited.com/en/news/arsenal-singapore-friendly-report-25-26,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/K_League_1.svg/280px-K_League_1.svg.png,K-League Select,Jul 30,,1-0 Loss,"Suwon, South Korea",https://www.newcastleunited.com/en/news/team-k-league-1-newcastle-united-0,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham,Aug 03,,1-1 Draw,"Seoul, South Korea",https://www.newcastleunited.com/en/news/tottenham-hotspur-1-newcastle-united-1-august-2025,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://cdn.ssref.net/req/202507171/tlogo/fb/a8661628.png,Espanyol,Aug 08,,2-2 Draw,"Newcastle, England",https://www.newcastleunited.com/en/news/newcastle-united-2-rcd-espanyol-2,-
https://resources.premierleague.com/premierleague25/badges-alt/4.svg,newcastle,https://cdn.ssref.net/req/202507171/tlogo/fb/db3b9613.png,Atletico Madrid,Aug 09,,2-0 Loss,"Newcastle, England",https://www.newcastleunited.com/en/news/newcastle-united-0-atletico-madrid-2,-
